実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
10-12.,"373,720.1 ","204,264.2 ","201,251.2 ","171,621.2 ","33,703.0 ","57,695.7 ","1,833.4 ","57,665.9 ","36,097.6 ",396.5 ,"-4,557.9 ","26,685.7 ","31,243.6 ","-13,378.1 ",,"12,618.2 ","386,338.2 ","2,983.1 ","8,649.8 ","5,666.7 ","389,321.3 ",,"387,794.5 ","295,076.4 ","92,650.6 ",,"123,152.3 ",,"370,935.9 ",,,
1988/ 1- 3.,"379,496.1 ","205,516.1 ","202,444.5 ","172,619.8 ","34,643.0 ","60,442.1 ","3,241.3 ","58,814.5 ","36,043.7 ",-119.6 ,"-6,224.7 ","26,847.8 ","33,072.5 ","-12,860.2 ",,"13,497.5 ","392,993.5 ","2,809.5 ","8,937.7 ","6,128.2 ","395,803.1 ",,"395,389.6 ","302,027.6 ","93,176.9 ",,"127,017.3 ",,"375,538.3 ",,,
4- 6.,"382,265.8 ","209,801.9 ","206,667.8 ","176,573.1 ","34,025.8 ","63,377.7 ",834.2 ,"59,265.4 ","35,390.0 ",-481.7 ,"-7,276.5 ","27,277.7 ","34,554.2 ","-12,671.0 ",,"13,628.9 ","395,894.7 ","2,378.4 ","8,959.7 ","6,581.4 ","398,273.1 ",,"399,084.7 ","306,164.2 ","92,603.6 ",,"129,387.1 ",,"381,544.6 ",,,
7- 9.,"389,314.5 ","210,713.1 ","207,539.6 ","177,238.7 ","33,458.0 ","67,368.6 ","2,199.1 ","59,732.8 ","34,792.4 ",-560.8 ,"-7,439.0 ","28,875.1 ","36,314.1 ","-10,949.8 ",,"14,306.9 ","403,621.3 ","3,215.2 ","10,809.1 ","7,593.9 ","406,836.5 ",,"405,911.4 ","313,019.0 ","92,410.3 ",,"133,054.4 ",,"387,039.1 ",,,
10-12.,"393,577.3 ","212,906.1 ","209,712.5 ","179,198.5 ","33,956.5 ","69,459.2 ","1,760.5 ","60,004.8 ","34,113.3 ",-588.9 ,"-7,172.3 ","29,116.0 ","36,288.4 ","-10,861.8 ",,"15,616.6 ","409,193.9 ","2,974.2 ","11,229.0 ","8,254.8 ","412,168.1 ",,"410,076.2 ","317,462.8 ","92,004.7 ",,"135,269.5 ",,"391,846.7 ",,,
1989/ 1- 3.,"402,905.1 ","218,972.5 ","215,784.7 ","184,922.6 ","34,939.7 ","72,477.1 ","1,073.3 ","60,389.6 ","35,939.6 ",-92.8 ,"-10,074.6 ","29,928.0 ","40,002.6 ","-10,719.2 ",,"16,540.0 ","419,445.1 ","2,711.5 ","11,951.5 ","9,240.0 ","422,156.6 ",,"422,128.4 ","326,848.0 ","94,648.6 ",,"141,033.6 ",,"401,507.5 ",,,
4- 6.,"398,116.1 ","215,371.6 ","212,225.4 ","181,280.4 ","33,825.3 ","70,463.8 ","2,442.3 ","60,763.6 ","35,048.2 ",-77.9 ,"-9,878.2 ","30,693.6 ","40,571.8 ","-9,842.6 ",,"15,360.1 ","413,476.2 ","2,429.0 ","13,143.3 ","10,714.4 ","415,905.2 ",,"416,479.1 ","321,739.4 ","94,189.2 ",,"137,076.3 ",,"395,109.6 ",,,
7- 9.,"404,303.0 ","220,302.8 ","217,202.8 ","185,937.7 ","33,505.6 ","72,188.4 ","1,691.5 ","61,024.1 ","36,444.2 ",-331.4 ,"-10,599.8 ","31,133.1 ","41,732.9 ","-9,922.5 ",,"15,514.1 ","419,817.2 ","3,939.3 ","15,285.5 ","11,346.2 ","423,756.4 ",,"423,469.4 ","327,362.2 ","95,529.1 ",,"139,969.9 ",,"402,389.8 ",,,
10-12.,"415,327.2 ","226,455.2 ","223,353.6 ","191,736.7 ","33,396.9 ","75,520.2 ","3,034.8 ","61,587.8 ","36,796.8 ",-78.2 ,"-11,737.0 ","31,152.0 ","42,889.0 ","-9,649.4 ",,"15,758.1 ","431,085.3 ","4,461.5 ","17,199.6 ","12,738.0 ","435,546.8 ",,"436,179.6 ","338,749.6 ","96,688.2 ",,"143,982.3 ",,"411,629.4 ",,,
1990/ 1- 3.,"413,087.8 ","224,501.4 ","221,359.8 ","189,613.8 ","32,808.4 ","75,892.4 ","1,066.6 ","62,095.1 ","37,807.8 ",-23.7 ,"-11,673.7 ","32,194.2 ","43,867.8 ","-9,386.5 ",,"15,508.0 ","428,595.8 ","4,768.1 ","17,972.5 ","13,204.4 ","433,363.9 ",,"433,229.0 ","334,450.4 ","98,213.4 ",,"144,774.7 ",,"411,576.5 ",,,
